,source,target,Znum_x,Xnum_x,Znum_y,Xnum_y,commute,weight
0,IIIIIIII,IIIIIIIZ,0,0,1,0,True,0.0
1,IIIIIIII,IIIIIIZI,0,0,2,0,True,0.0
2,IIIIIIII,IIIIIIZZ,0,0,3,0,True,0.0
3,IIIIIIII,IIIIIZII,0,0,4,0,True,0.0
4,IIIIIIII,IIIIIZIZ,0,0,5,0,True,0.0
5,IIIIIIII,IIIIIZZI,0,0,6,0,True,0.0
6,IIIIIIII,IIIIZIII,0,0,8,0,True,0.0
7,IIIIIIII,IIIIZIIZ,0,0,9,0,True,0.0
8,IIIIIIII,IIIIZIZI,0,0,10,0,True,0.0
9,IIIIIIII,IIIIZZII,0,0,12,0,True,0.0
10,IIIIIIII,IIIZIIII,0,0,16,0,True,0.0
11,IIIIIIII,IIIZIIIZ,0,0,17,0,True,0.0
12,IIIIIIII,IIIZIIZI,0,0,18,0,True,0.0
13,IIIIIIII,IIIZIZII,0,0,20,0,True,0.0
14,IIIIIIII,IIIZZIII,0,0,24,0,True,0.0
15,IIIIIIII,IIZIIIII,0,0,32,0,True,0.0
16,IIIIIIII,IIZIIIIZ,0,0,33,0,True,0.0
17,IIIIIIII,IIZIIIZI,0,0,34,0,True,0.0
18,IIIIIIII,IIZIIZII,0,0,36,0,True,0.0
19,IIIIIIII,IIZIZIII,0,0,40,0,True,0.0
20,IIIIIIII,IIZZIIII,0,0,48,0,True,0.0
21,IIIIIIII,IZIIIIII,0,0,64,0,True,0.0
22,IIIIIIII,IZIIIIIZ,0,0,65,0,True,0.0
23,IIIIIIII,IZIIIIZI,0,0,66,0,True,0.0
24,IIIIIIII,IZIIIZII,0,0,68,0,True,0.0
25,IIIIIIII,IZIIZIII,0,0,72,0,True,0.0
26,IIIIIIII,IZIZIIII,0,0,80,0,True,0.0
27,IIIIIIII,IZZIIIII,0,0,96,0,True,0.0
28,IIIIIIII,ZIIIIIII,0,0,128,0,True,0.0
29,IIIIIIII,ZIIIIIIZ,0,0,129,0,True,0.0
30,IIIIIIII,ZIIIIIZI,0,0,130,0,True,0.0
31,IIIIIIII,ZIIIIZII,0,0,132,0,True,0.0
32,IIIIIIII,ZIIIZIII,0,0,136,0,True,0.0
33,IIIIIIII,ZIIZIIII,0,0,144,0,True,0.0
34,IIIIIIII,ZIZIIIII,0,0,160,0,True,0.0
35,IIIIIIII,ZZIIIIII,0,0,192,0,True,0.0
36,IIIIIIII,IIIIXXYY,0,0,3,15,True,0.75
37,IIIIIIII,IIXXIIYY,0,0,3,51,True,0.75
38,IIIIIIII,XXIIIIYY,0,0,3,195,True,0.75
39,IIIIIIII,IIIIXYYX,0,0,6,15,True,0.75
40,IIIIIIII,IIIXIZZX,0,0,6,17,True,0.25
41,IIIIIIII,IIIXXYYI,0,0,6,30,True,0.75
42,IIIIIIII,IXXIIYYI,0,0,6,102,True,0.75
43,IIIIIIII,IXXIXZZX,0,0,6,105,True,0.5
44,IIIIIIII,IIIIYXXY,0,0,9,15,True,0.75
45,IIIIIIII,IIIXZIZX,0,0,10,17,True,0.25
46,IIIIIIII,IIIIYYXX,0,0,12,15,True,0.75
47,IIIIIIII,IIIXZZIX,0,0,12,17,True,0.25
48,IIIIIIII,IIIXYYXI,0,0,12,30,True,0.75
49,IIIIIIII,IIXIZZXI,0,0,12,34,True,0.25
50,IIIIIIII,IIXXYYII,0,0,12,60,True,0.75
51,IIIIIIII,XXIIYYII,0,0,12,204,True,0.75
52,IIIIIIII,XXIXZZXI,0,0,12,210,True,0.5
53,IIIIIIII,IIIXZZZX,0,0,14,17,True,0.25
54,IIIIIIII,IIIYXXYI,0,0,18,30,True,0.75
55,IIIIIIII,IIXZXXZX,0,0,18,45,True,0.5
56,IIIIIIII,IIXYIIYX,0,0,18,51,True,0.75
57,IIIIIIII,IIXZIZXI,0,0,20,34,True,0.25
58,IIIIIIII,IIIYIZZY,0,0,23,17,True,0.5
59,IIIIIIII,IIXZXYZY,0,0,23,45,True,0.75
60,IIIIIIII,IIIYYXXI,0,0,24,30,True,0.75
61,IIIIIIII,IIXZZIXI,0,0,24,34,True,0.25
62,IIIIIIII,IIXYYXII,0,0,24,60,True,0.75
63,IIIIIIII,IXIZZXII,0,0,24,68,True,0.25
64,IIIIIIII,IXXYYIII,0,0,24,120,True,0.75
65,IIIIIIII,IIIYZIZY,0,0,27,17,True,0.5
66,IIIIIIII,IIXZZZXI,0,0,28,34,True,0.25
67,IIIIIIII,IIIYZZIY,0,0,29,17,True,0.5
68,IIIIIIII,IIXZZZXZ,0,0,29,34,True,0.25
69,IIIIIIII,IIIYZZZY,0,0,31,17,True,0.5
70,IIIIIIII,IIYXIIXY,0,0,33,51,True,0.75
71,IIIIIIII,IXZXIXZX,0,0,34,85,True,0.5
72,IIIIIIII,IIYXXYII,0,0,36,60,True,0.75
73,IIIIIIII,IXZXXZXI,0,0,36,90,True,0.5
74,IIIIIIII,IXYIIYXI,0,0,36,102,True,0.75
75,IIIIIIII,IXZXIYZY,0,0,39,85,True,0.75
76,IIIIIIII,IXZIZXII,0,0,40,68,True,0.25
77,IIIIIIII,IIZXZZZX,0,0,46,17,True,0.25
78,IIIIIIII,IIYIZZYI,0,0,46,34,True,0.5
79,IIIIIIII,IXZXYZYI,0,0,46,90,True,0.75
80,IIIIIIII,IXYIYZZX,0,0,46,105,True,0.75
81,IIIIIIII,IIYYIIXX,0,0,48,51,True,0.75
82,IIIIIIII,IIYYXXII,0,0,48,60,True,0.75
83,IIIIIIII,IXZZIXII,0,0,48,68,True,0.25
84,IIIIIIII,IXZZXIXX,0,0,48,75,True,0.5
85,IIIIIIII,IXYYXIII,0,0,48,120,True,0.75
86,IIIIIIII,XIZZXIII,0,0,48,136,True,0.25
87,IIIIIIII,XXYYIIII,0,0,48,240,True,0.75
88,IIIIIIII,IIYZIZYI,0,0,54,34,True,0.5
89,IIIIIIII,IXZYIYZX,0,0,54,85,True,0.75
90,IIIIIIII,IXZZZXII,0,0,56,68,True,0.25
91,IIIIIIII,IXZZZXIZ,0,0,57,68,True,0.25
92,IIIIIIII,IIYZZIYI,0,0,58,34,True,0.5
93,IIIIIIII,IIYZYXZX,0,0,58,45,True,0.75
94,IIIIIIII,IXZZZXZI,0,0,58,68,True,0.25
95,IIIIIIII,IXZZYIYX,0,0,58,75,True,0.75
96,IIIIIIII,IIYZZZYI,0,0,62,34,True,0.5
97,IIIIIIII,IIZYZZZY,0,0,63,17,True,0.5
98,IIIIIIII,IIYZZZYZ,0,0,63,34,True,0.5
99,IIIIIIII,IIYZYYZY,0,0,63,45,True,1.0
100,IIIIIIII,XXYZZZZY,0,0,63,225,True,0.75
101,IIIIIIII,IYXIIXYI,0,0,66,102,True,0.75
102,IIIIIIII,XZXIIXZX,0,0,66,165,True,0.5
103,IIIIIIII,XYIIIIYX,0,0,66,195,True,0.75
104,IIIIIIII,XZXIXZXI,0,0,68,170,True,0.5
105,IIIIIIII,IYXIXZZY,0,0,71,105,True,0.75
106,IIIIIIII,XZXIIYZY,0,0,71,165,True,0.75
107,IIIIIIII,IYXXYIII,0,0,72,120,True,0.75
108,IIIIIIII,XZXXZXII,0,0,72,180,True,0.5
109,IIIIIIII,XYIIYXII,0,0,72,204,True,0.75
