,index,Pstring,type,Z,X,Znum,Xnum,zindex,xindex
510,558,XZZZZZZZXIZI,2,IZZZZZZZIIZI,XIIIIIIIXIII,2034,2056,188,65
511,620,XZZZZZZYIIYX,2,IZZZZZZZIIZI,XIIIIIIXIIXX,2034,2067,188,81
512,489,IYZZZZZZIYII,2,IZZZZZZZIZII,IXIIIIIIIXII,2036,1028,189,52
513,457,IYZZZZZYIZII,2,IZZZZZZZIZII,IXIIIIIXIIII,2036,1040,189,48
514,559,XZZZZZZZXZII,2,IZZZZZZZIZII,XIIIIIIIXIII,2036,2056,189,65
515,424,IZYZZZZZYIII,2,IZZZZZZZZIII,IIXIIIIIXIII,2040,520,190,43
516,458,IYZZZZZYZIII,2,IZZZZZZZZIII,IXIIIIIXIIII,2040,1040,190,48
517,624,XZZZZZZYYXII,2,IZZZZZZZZIII,XIIIIIIXXXII,2040,2076,190,82
518,576,XYYZZZZZZXII,2,IZZZZZZZZIII,XXXIIIIIIXII,2040,3588,190,67
519,548,IYZZZZZZYIYY,2,IZZZZZZZZIZZ,IXIIIIIIXIXX,2043,1035,191,64
520,627,XZZZZZZZZXYY,2,IZZZZZZZZIZZ,XIIIIIIIIXXX,2043,2055,191,83
521,490,IYZZZZZZZYII,2,IZZZZZZZZZII,IXIIIIIIIXII,2044,1028,192,52
522,491,IYZZZZZZZYIZ,2,IZZZZZZZZZIZ,IXIIIIIIIXII,2045,1028,193,52
523,492,IYZZZZZZZYZI,2,IZZZZZZZZZZI,IXIIIIIIIXII,2046,1028,194,52
524,628,XZZZZZZZZYYX,2,IZZZZZZZZZZI,XIIIIIIIIXXX,2046,2055,194,83
525,217,YXIIIIIIIIXY,2,ZIIIIIIIIIIZ,XXIIIIIIIIXX,2049,3075,68,17
526,233,YXIIIIIIXYII,2,ZIIIIIIIIZII,XXIIIIIIXXII,2052,3084,70,21
527,90,ZIIIIIIXZXII,2,ZIIIIIIIZIII,IIIIIIIXIXII,2056,20,71,1
528,197,YXIIIIIXYIII,2,ZIIIIIIIZIII,XXIIIIIXXIII,2056,3096,71,12
529,116,ZIIIIIXZXIII,2,ZIIIIIIZIIII,IIIIIIXIXIII,2064,40,72,3
530,253,YXIIIIXYIIII,2,ZIIIIIIZIIII,XXIIIIXXIIII,2064,3120,72,27
531,100,ZIIIIIIYZYII,2,ZIIIIIIZZZII,IIIIIIIXIXII,2076,20,195,1
532,369,YXIIIIXZZYII,2,ZIIIIIIZZZII,XXIIIIXIIXII,2076,3108,195,30
533,126,ZIIIIIYZYIII,2,ZIIIIIZZZIII,IIIIIIXIXIII,2104,40,196,3
534,317,YXIIXYIIIIII,2,ZIIIIZIIIIII,XXIIXXIIIIII,2112,3264,74,39
535,275,ZIIXZZZXIIII,2,ZIIIZZZIIIII,IIIXIIIXIIII,2272,272,197,31
536,321,YXIXZZYIIIII,2,ZIIIZZZIIIII,XXIXIIXIIIII,2272,3360,197,40
537,391,ZIIXZZZZZXII,2,ZIIIZZZZZIII,IIIXIIIIIXII,2296,260,198,33
538,429,YXIXZZZZYIII,2,ZIIIZZZZZIII,XXIXIIIIXIII,2296,3336,198,44
539,339,YXXYIIIIIIII,2,ZIIZIIIIIIII,XXXXIIIIIIII,2304,3840,76,57
540,309,ZIXZZZXIIIII,2,ZIIZZZIIIIII,IIXIIIXIIIII,2496,544,199,37
541,276,ZIIYZZZYIIII,2,ZIIZZZZZIIII,IIIXIIIXIIII,2544,272,200,31
542,425,ZIXZZZZZXIII,2,ZIIZZZZZIIII,IIXIIIIIXIII,2544,520,200,43
543,573,YXXZZZZYIIII,2,ZIIZZZZZIIII,XXXIIIIXIIII,2544,3600,200,66
544,392,ZIIYZZZZZYII,2,ZIIZZZZZZZII,IIIXIIIIIXII,2556,260,201,33
545,577,YXXZZZZZZYII,2,ZIIZZZZZZZII,XXXIIIIIIXII,2556,3588,201,67
546,146,ZXZXIIIIIIII,2,ZIZIIIIIIIII,IXIXIIIIIIII,2560,1280,77,6
547,184,YIYIIIIIIIII,2,ZIZIIIIIIIII,XIXIIIIIIIII,2560,2560,77,11
548,310,ZIYZZZYIIIII,2,ZIZZZZZIIIII,IIXIIIXIIIII,3040,544,202,37
549,459,ZXZZZZZXIIII,2,ZIZZZZZIIIII,IXIIIIIXIIII,3040,1040,202,48
550,530,YIZZZZYIIIII,2,ZIZZZZZIIIII,XIIIIIXIIIII,3040,2080,202,62
551,426,ZIYZZZZZYIII,2,ZIZZZZZZZIII,IIXIIIIIXIII,3064,520,203,43
552,493,ZXZZZZZZZXII,2,ZIZZZZZZZIII,IXIIIIIIIXII,3064,1028,203,52
553,560,YIZZZZZZYIII,2,ZIZZZZZZZIII,XIIIIIIIXIII,3064,2056,203,65
554,218,YYIIIIIIIIXX,2,ZZIIIIIIIIII,XXIIIIIIIIXX,3072,3075,78,17
555,234,YYIIIIIIXXII,2,ZZIIIIIIIIII,XXIIIIIIXXII,3072,3084,78,21
556,254,YYIIIIXXIIII,2,ZZIIIIIIIIII,XXIIIIXXIIII,3072,3120,78,27
557,318,YYIIXXIIIIII,2,ZZIIIIIIIIII,XXIIXXIIIIII,3072,3264,78,39
558,340,YYXXIIIIIIII,2,ZZIIIIIIIIII,XXXXIIIIIIII,3072,3840,78,57
559,348,YZXIIIXZYIII,2,ZZIIIIIZZIII,XIXIIIXIXIII,3096,2600,204,69
560,198,YYIIIIIYYIII,2,ZZIIIIIZZIII,XXIIIIIXXIII,3096,3096,204,12
561,370,YYIIIIXZZXII,2,ZZIIIIIZZIII,XXIIIIXIIXII,3096,3108,204,30
562,531,YZIZZZYIIIII,2,ZZIZZZZIIIII,XIIIIIXIIIII,3552,2080,205,62
563,322,YYIYZZYIIIII,2,ZZIZZZZIIIII,XXIXIIXIIIII,3552,3360,205,40
564,574,YYXZZZZXIIII,2,ZZIZZZZIIIII,XXXIIIIXIIII,3552,3600,205,66
565,561,YZIZZZZZYIII,2,ZZIZZZZZZIII,XIIIIIIIXIII,3576,2056,206,65
566,430,YYIYZZZZYIII,2,ZZIZZZZZZIII,XXIXIIIIXIII,3576,3336,206,44
567,578,YYXZZZZZZXII,2,ZZIZZZZZZIII,XXXIIIIIIXII,3576,3588,206,67
568,185,YZYIIIIIIIII,2,ZZZIIIIIIIII,XIXIIIIIIIII,3584,2560,207,11
569,589,YZZXIIIIIIXY,2,ZZZIIIIIIIIZ,XIIXIIIIIIXX,3585,2307,208,73
570,186,YZYIIIIIIIIZ,2,ZZZIIIIIIIIZ,XIXIIIIIIIII,3585,2560,208,11
571,187,YZYIIIIIIIZI,2,ZZZIIIIIIIZI,XIXIIIIIIIII,3586,2560,209,11
572,593,YZZXIIIIXYII,2,ZZZIIIIIIZII,XIIXIIIIXXII,3588,2316,210,74
573,188,YZYIIIIIIZII,2,ZZZIIIIIIZII,XIXIIIIIIIII,3588,2560,210,11
574,353,YZZXIIIXYIII,2,ZZZIIIIIZIII,XIIXIIIXXIII,3592,2328,211,72
575,189,YZYIIIIIZIII,2,ZZZIIIIIZIII,XIXIIIIIIIII,3592,2560,211,11
576,343,YZYIIIIXZXII,2,ZZZIIIIIZIII,XIXIIIIXIXII,3592,2580,211,68
577,597,YZZXIIXYIIII,2,ZZZIIIIZIIII,XIIXIIXXIIII,3600,2352,212,75
578,190,YZYIIIIZIIII,2,ZZZIIIIZIIII,XIXIIIIIIIII,3600,2560,212,11
579,349,YZYIIIXZXIII,2,ZZZIIIIZIIII,XIXIIIXIXIII,3600,2600,212,69
580,601,YZZXIIXZZYII,2,ZZZIIIIZZZII,XIIXIIXIIXII,3612,2340,213,76
581,344,YZYIIIIYZYII,2,ZZZIIIIZZZII,XIXIIIIXIXII,3612,2580,213,68
582,191,YZYIIIZIIIII,2,ZZZIIIZIIIII,XIXIIIIIIIII,3616,2560,214,11
583,350,YZYIIIYZYIII,2,ZZZIIIZZZIII,XIXIIIXIXIII,3640,2600,215,69
584,605,YZZXXYIIIIII,2,ZZZIIZIIIIII,XIIXXXIIIIII,3648,2496,216,77
585,192,YZYIIZIIIIII,2,ZZZIIZIIIIII,XIXIIIIIIIII,3648,2560,216,11
586,193,YZYIZIIIIIII,2,ZZZIZIIIIIII,XIXIIIIIIIII,3712,2560,217,11
587,532,YZZIZZYIIIII,2,ZZZIZZZIIIII,XIIIIIXIIIII,3808,2080,218,62
588,581,YZYXZZZXIIII,2,ZZZIZZZIIIII,XIXXIIIXIIII,3808,2832,218,70
589,562,YZZIZZZZYIII,2,ZZZIZZZZZIII,XIIIIIIIXIII,3832,2056,219,65
590,585,YZYXZZZZZXII,2,ZZZIZZZZZIII,XIXXIIIIIXII,3832,2820,219,71
591,156,ZYZYIIIIIIII,2,ZZZZIIIIIIII,IXIXIIIIIIII,3840,1280,220,6
592,590,YZZYIIIIIIXX,2,ZZZZIIIIIIII,XIIXIIIIIIXX,3840,2307,220,73
593,594,YZZYIIIIXXII,2,ZZZZIIIIIIII,XIIXIIIIXXII,3840,2316,220,74
594,598,YZZYIIXXIIII,2,ZZZZIIIIIIII,XIIXIIXXIIII,3840,2352,220,75
595,606,YZZYXXIIIIII,2,ZZZZIIIIIIII,XIIXXXIIIIII,3840,2496,220,77
596,194,YZYZIIIIIIII,2,ZZZZIIIIIIII,XIXIIIIIIIII,3840,2560,220,11
597,354,YZZYIIIYYIII,2,ZZZZIIIZZIII,XIIXIIIXXIII,3864,2328,221,72
598,602,YZZYIIXZZXII,2,ZZZZIIIZZIII,XIIXIIXIIXII,3864,2340,221,76
599,533,YZZZIZYIIIII,2,ZZZZIZZIIIII,XIIIIIXIIIII,3936,2080,222,62
600,563,YZZZIZZZYIII,2,ZZZZIZZZZIII,XIIIIIIIXIII,3960,2056,223,65
601,534,YZZZZIYIIIII,2,ZZZZZIZIIIII,XIIIIIXIIIII,4000,2080,224,62
602,609,YZZZYXZXIIII,2,ZZZZZIZIIIII,XIIIXXIXIIII,4000,2256,224,78
603,564,YZZZZIZZYIII,2,ZZZZZIZZZIII,XIIIIIIIXIII,4024,2056,225,65
604,613,YZZZYXZZZXII,2,ZZZZZIZZZIII,XIIIXXIIIXII,4024,2244,225,79
605,565,YZZZZZIZYIII,2,ZZZZZZIZZIII,XIIIIIIIXIII,4056,2056,226,65
606,535,YZZZZZYIIIII,2,ZZZZZZZIIIII,XIIIIIXIIIII,4064,2080,227,62
607,621,YZZZZZZXIIXY,2,ZZZZZZZIIIIZ,XIIIIIIXIIXX,4065,2067,228,81
608,536,YZZZZZYIIIIZ,2,ZZZZZZZIIIIZ,XIIIIIXIIIII,4065,2080,228,62
609,537,YZZZZZYIIIZI,2,ZZZZZZZIIIZI,XIIIIIXIIIII,4066,2080,229,62
610,625,YZZZZZZXXYII,2,ZZZZZZZIIZII,XIIIIIIXXXII,4068,2076,230,82
611,538,YZZZZZYIIZII,2,ZZZZZZZIIZII,XIIIIIXIIIII,4068,2080,230,62
612,566,YZZZZZZIYIII,2,ZZZZZZZIZIII,XIIIIIIIXIII,4072,2056,231,65
613,539,YZZZZZYIZIII,2,ZZZZZZZIZIII,XIIIIIXIIIII,4072,2080,231,62
614,617,YZZZZZYXZXII,2,ZZZZZZZIZIII,XIIIIIXXIXII,4072,2100,231,80
615,460,ZYZZZZZYIIII,2,ZZZZZZZZIIII,IXIIIIIXIIII,4080,1040,232,48
616,622,YZZZZZZYIIXX,2,ZZZZZZZZIIII,XIIIIIIXIIXX,4080,2067,232,81
617,626,YZZZZZZYXXII,2,ZZZZZZZZIIII,XIIIIIIXXXII,4080,2076,232,82
618,540,YZZZZZYZIIII,2,ZZZZZZZZIIII,XIIIIIXIIIII,4080,2080,232,62
619,610,YZZZYYZYIIII,2,ZZZZZZZZIIII,XIIIXXIXIIII,4080,2256,232,78
620,582,YZYYZZZYIIII,2,ZZZZZZZZIIII,XIXXIIIXIIII,4080,2832,232,70
621,567,YZZZZZZZYIII,2,ZZZZZZZZZIII,XIIIIIIIXIII,4088,2056,233,65
622,629,YZZZZZZZZXXY,2,ZZZZZZZZZIIZ,XIIIIIIIIXXX,4089,2055,234,83
623,568,YZZZZZZZYIIZ,2,ZZZZZZZZZIIZ,XIIIIIIIXIII,4089,2056,234,65
624,569,YZZZZZZZYIZI,2,ZZZZZZZZZIZI,XIIIIIIIXIII,4090,2056,235,65
625,494,ZYZZZZZZZYII,2,ZZZZZZZZZZII,IXIIIIIIIXII,4092,1028,236,52
626,630,YZZZZZZZZYXX,2,ZZZZZZZZZZII,XIIIIIIIIXXX,4092,2055,236,83
627,570,YZZZZZZZYZII,2,ZZZZZZZZZZII,XIIIIIIIXIII,4092,2056,236,65
628,618,YZZZZZYYZYII,2,ZZZZZZZZZZII,XIIIIIXXIXII,4092,2100,236,80
629,614,YZZZYYZZZYII,2,ZZZZZZZZZZII,XIIIXXIIIXII,4092,2244,236,79
630,586,YZYYZZZZZYII,2,ZZZZZZZZZZII,XIXXIIIIIXII,4092,2820,236,71
