,index,Pstring,type,Z,X,Znum,Xnum,zindex,xindex
495,555,XZZZZZZIZZXI,2,IZZZZZZIZZII,XIIIIIIIIIXI,2028,2050,197,65
496,492,IYZZZZZIZZZY,2,IZZZZZZIZZZZ,IXIIIIIIIIIX,2031,1025,198,53
497,530,XZZZZZZZXIII,2,IZZZZZZZIIII,XIIIIIIIXIII,2032,2056,199,63
498,521,IYZZZZZZXIXY,2,IZZZZZZZIIIZ,IXIIIIIIXIXX,2033,1035,200,62
499,531,XZZZZZZZXIIZ,2,IZZZZZZZIIIZ,XIIIIIIIXIII,2033,2056,200,63
500,547,IYZZZZZZXXYI,2,IZZZZZZZIIZI,IXIIIIIIXXXI,2034,1038,201,64
501,532,XZZZZZZZXIZI,2,IZZZZZZZIIZI,XIIIIIIIXIII,2034,2056,201,63
502,623,XZZZZZZZXXZX,2,IZZZZZZZIIZI,XIIIIIIIXXIX,2034,2061,201,82
503,463,IYZZZZZZIYII,2,IZZZZZZZIZII,IXIIIIIIIXII,2036,1028,202,50
504,556,XZZZZZZZIZXI,2,IZZZZZZZIZII,XIIIIIIIIIXI,2036,2050,202,65
505,533,XZZZZZZZXZII,2,IZZZZZZZIZII,XIIIIIIIXIII,2036,2056,202,63
506,493,IYZZZZZZIZZY,2,IZZZZZZZIZZZ,IXIIIIIIIIIX,2039,1025,203,53
507,624,XZZZZZZZXYZY,2,IZZZZZZZIZZZ,XIIIIIIIXXIX,2039,2061,203,82
508,390,IZYZZZZZYIII,2,IZZZZZZZZIII,IIXIIIIIXIII,2040,520,204,40
509,548,IYZZZZZZYXXI,2,IZZZZZZZZIII,IXIIIIIIXXXI,2040,1038,204,64
510,557,XZZZZZZZZIXI,2,IZZZZZZZZIII,XIIIIIIIIIXI,2040,2050,204,65
511,572,XYYZZZZZZXII,2,IZZZZZZZZIII,XXXIIIIIIXII,2040,3588,204,66
512,494,IYZZZZZZZIZY,2,IZZZZZZZZIZZ,IXIIIIIIIIIX,2043,1025,205,53
513,522,IYZZZZZZYIYY,2,IZZZZZZZZIZZ,IXIIIIIIXIXX,2043,1035,205,62
514,627,XZZZZZZZZXYY,2,IZZZZZZZZIZZ,XIIIIIIIIXXX,2043,2055,205,83
515,464,IYZZZZZZZYII,2,IZZZZZZZZZII,IXIIIIIIIXII,2044,1028,206,50
516,558,XZZZZZZZZZXI,2,IZZZZZZZZZII,XIIIIIIIIIXI,2044,2050,206,65
517,495,IYZZZZZZZZIY,2,IZZZZZZZZZIZ,IXIIIIIIIIIX,2045,1025,207,53
518,465,IYZZZZZZZYIZ,2,IZZZZZZZZZIZ,IXIIIIIIIXII,2045,1028,207,50
519,559,XZZZZZZZZZXZ,2,IZZZZZZZZZIZ,XIIIIIIIIIXI,2045,2050,207,65
520,420,IZYZZZZZZZYI,2,IZZZZZZZZZZI,IIXIIIIIIIXI,2046,514,208,43
521,466,IYZZZZZZZYZI,2,IZZZZZZZZZZI,IXIIIIIIIXII,2046,1028,208,50
522,628,XZZZZZZZZYYX,2,IZZZZZZZZZZI,XIIIIIIIIXXX,2046,2055,208,83
523,576,XYYZZZZZZZZX,2,IZZZZZZZZZZI,XXXIIIIIIIIX,2046,3585,208,67
524,496,IYZZZZZZZZZY,2,IZZZZZZZZZZZ,IXIIIIIIIIIX,2047,1025,209,53
525,217,YXIIIIIIIIXY,2,ZIIIIIIIIIIZ,XXIIIIIIIIXX,2049,3075,68,17
526,90,ZIIIIIIIIXZX,2,ZIIIIIIIIIZI,IIIIIIIIIXIX,2050,5,69,1
527,197,YXIIIIIIIXYI,2,ZIIIIIIIIIZI,XXIIIIIIIXXI,2050,3078,69,12
528,112,ZIIIIIIIXZXI,2,ZIIIIIIIIZII,IIIIIIIIXIXI,2052,10,70,2
529,241,YXIIIIIIXYII,2,ZIIIIIIIIZII,XXIIIIIIXXII,2052,3084,70,23
530,100,ZIIIIIIIIYZY,2,ZIIIIIIIIZZZ,IIIIIIIIIXIX,2055,5,210,1
531,305,YXIIIIIIXZZY,2,ZIIIIIIIIZZZ,XXIIIIIIXIIX,2055,3081,210,27
532,122,ZIIIIIIIYZYI,2,ZIIIIIIIZZZI,IIIIIIIIXIXI,2062,10,211,2
