,index,Pstring,type,Z,X,Znum,Xnum,zindex,xindex
125,112,IYZIZYII,2,IZZIZZII,IXIIIXII,108,68,56,13
126,161,XZYIYZXI,2,IZZIZZII,XIXIXIXI,108,170,56,22
127,74,IYYIYZZY,2,IZZIZZZZ,IXXIXIIX,111,105,57,7
128,177,XZZXYZZY,2,IZZIZZZZ,XIIXXIIX,111,153,57,25
129,140,XZZZXIII,2,IZZZIIII,XIIIXIII,112,136,58,18
130,135,IYZZXIXY,2,IZZZIIIZ,IXIIXIXX,113,75,59,17
131,141,XZZZXIIZ,2,IZZZIIIZ,XIIIXIII,113,136,59,18
132,127,IYZYIXZX,2,IZZZIIZI,IXIXIXIX,114,85,60,15
133,142,XZZZXIZI,2,IZZZIIZI,XIIIXIII,114,136,60,18
134,113,IYZZIYII,2,IZZZIZII,IXIIIXII,116,68,61,13
135,131,IYZYXZXI,2,IZZZIZII,IXIXXIXI,116,90,61,16
136,143,XZZZXZII,2,IZZZIZII,XIIIXIII,116,136,61,18
137,170,XZZYIYXI,2,IZZZIZII,XIIXIXXI,116,150,61,24
138,128,IYZYIYZY,2,IZZZIZZZ,IXIXIXIX,119,85,62,15
139,136,IYZZYIYY,2,IZZZZIZZ,IXIIXIXX,123,75,63,17
140,181,XZZZZXYY,2,IZZZZIZZ,XIIIIXXX,123,135,63,26
141,114,IYZZZYII,2,IZZZZZII,IXIIIXII,124,68,64,13
142,115,IYZZZYIZ,2,IZZZZZIZ,IXIIIXII,125,68,65,13
143,86,IZYZZZYI,2,IZZZZZZI,IIXIIIXI,126,34,66,8
144,116,IYZZZYZI,2,IZZZZZZI,IXIIIXII,126,68,66,13
145,132,IYZYYZYI,2,IZZZZZZI,IXIXXIXI,126,90,66,16
146,182,XZZZZYYX,2,IZZZZZZI,XIIIIXXX,126,135,66,26
147,178,XZZYYZZX,2,IZZZZZZI,XIIXXIIX,126,153,66,25
148,174,XYYZZZZX,2,IZZZZZZI,XXXIIIIX,126,225,66,20
149,47,YXIIIIXY,2,ZIIIIIIZ,XXIIIIXX,129,195,30,3
150,95,YXIIXYII,2,ZIIIIZII,XXIIXXII,132,204,32,10
151,61,ZIIXZZZX,2,ZIIIZZZI,IIIXIIIX,142,17,67,4
152,99,YXIXZZYI,2,ZIIIZZZI,XXIXIIXI,142,210,67,11
153,153,YXXYIIII,2,ZIIZIIII,XXXXIIII,144,240,34,19
154,87,ZIXZZZXI,2,ZIIZZZII,IIXIIIXI,156,34,68,8
155,62,ZIIYZZZY,2,ZIIZZZZZ,IIIXIIIX,159,17,69,4
156,175,YXXZZZZY,2,ZIIZZZZZ,XXXIIIIX,159,225,69,20
157,117,ZXZZZXII,2,ZIZZZIII,IXIIIXII,184,68,70,13
158,144,YIZZYIII,2,ZIZZZIII,XIIIXIII,184,136,70,18
159,88,ZIYZZZYI,2,ZIZZZZZI,IIXIIIXI,190,34,71,8
160,48,YYIIIIXX,2,ZZIIIIII,XXIIIIXX,192,195,36,3
161,96,YYIIXXII,2,ZZIIIIII,XXIIXXII,192,204,36,10
162,154,YYXXIIII,2,ZZIIIIII,XXXXIIII,192,240,36,19
163,162,YZXIXZYI,2,ZZIIIZZI,XIXIXIXI,198,170,72,22
164,145,YZIZYIII,2,ZZIZZIII,XIIIXIII,216,136,73,18
165,100,YYIYZZYI,2,ZZIZZZZI,XXIXIIXI,222,210,74,11
166,176,YYXZZZZX,2,ZZIZZZZI,XXXIIIIX,222,225,74,20
167,171,YZZXIXYI,2,ZZZIIIZI,XIIXIXXI,226,150,75,24
168,157,YZYIIXZX,2,ZZZIIIZI,XIXIIXIX,226,165,75,21
169,163,YZYIXZXI,2,ZZZIIZII,XIXIXIXI,228,170,76,22
170,179,YZZXXZZY,2,ZZZIIZZZ,XIIXXIIX,231,153,77,25
171,158,YZYIIYZY,2,ZZZIIZZZ,XIXIIXIX,231,165,77,21
172,146,YZZIYIII,2,ZZZIZIII,XIIIXIII,232,136,78,18
173,167,YZYXZXII,2,ZZZIZIII,XIXXIXII,232,180,78,23
174,164,YZYIYZYI,2,ZZZIZZZI,XIXIXIXI,238,170,79,22
175,172,YZZYIYYI,2,ZZZZIZZI,XIIXIXXI,246,150,80,24
176,180,YZZYXZZX,2,ZZZZIZZI,XIIXXIIX,246,153,80,25
177,147,YZZZYIII,2,ZZZZZIII,XIIIXIII,248,136,81,18
178,183,YZZZZXXY,2,ZZZZZIIZ,XIIIIXXX,249,135,82,26
179,148,YZZZYIIZ,2,ZZZZZIIZ,XIIIXIII,249,136,82,18
180,149,YZZZYIZI,2,ZZZZZIZI,XIIIXIII,250,136,83,18
181,118,ZYZZZYII,2,ZZZZZZII,IXIIIXII,252,68,84,13
182,184,YZZZZYXX,2,ZZZZZZII,XIIIIXXX,252,135,84,26
183,150,YZZZYZII,2,ZZZZZZII,XIIIXIII,252,136,84,18
184,168,YZYYZYII,2,ZZZZZZII,XIXXIXII,252,180,84,23
