,index,Pstring,type,Z,X,Znum,Xnum,zindex,xindex
500,273,IYZZZYIZIIII,2,IZZZZZIZIIII,IXIIIXIIIIII,2000,1088,195,46
501,548,XZZZZZIZZZXI,2,IZZZZZIZZZII,XIIIIIIIIIXI,2012,2050,196,66
502,505,IYZZZZIZZZZY,2,IZZZZZIZZZZZ,IXIIIIIIIIIX,2015,1025,197,53
503,624,XZZZZZXYZZZY,2,IZZZZZIZZZZZ,XIIIIIXXIIIX,2015,2097,197,82
504,274,IYZZZYZIIIII,2,IZZZZZZIIIII,IXIIIXIIIIII,2016,1088,198,46
505,620,XZZZZYYXIIII,2,IZZZZZZIIIII,XIIIIXXXIIII,2016,2160,198,81
506,538,IYZZZZYXZZXI,2,IZZZZZZIZZII,IXIIIIXXIIXI,2028,1074,199,64
507,549,XZZZZZZIZZXI,2,IZZZZZZIZZII,XIIIIIIIIIXI,2028,2050,199,66
508,506,IYZZZZZIZZZY,2,IZZZZZZIZZZZ,IXIIIIIIIIIX,2031,1025,200,53
509,541,IYZZZZZZXXYI,2,IZZZZZZZIIZI,IXIIIIIIXXXI,2034,1038,201,65
510,627,XZZZZZZZXXZX,2,IZZZZZZZIIZI,XIIIIIIIXXIX,2034,2061,201,83
511,550,XZZZZZZZIZXI,2,IZZZZZZZIZII,XIIIIIIIIIXI,2036,2050,202,66
512,507,IYZZZZZZIZZY,2,IZZZZZZZIZZZ,IXIIIIIIIIIX,2039,1025,203,53
513,628,XZZZZZZZXYZY,2,IZZZZZZZIZZZ,XIIIIIIIXXIX,2039,2061,203,83
514,542,IYZZZZZZYXXI,2,IZZZZZZZZIII,IXIIIIIIXXXI,2040,1038,204,65
515,551,XZZZZZZZZIXI,2,IZZZZZZZZIII,XIIIIIIIIIXI,2040,2050,204,66
516,508,IYZZZZZZZIZY,2,IZZZZZZZZIZZ,IXIIIIIIIIIX,2043,1025,205,53
517,552,XZZZZZZZZZXI,2,IZZZZZZZZZII,XIIIIIIIIIXI,2044,2050,206,66
518,509,IYZZZZZZZZIY,2,IZZZZZZZZZIZ,IXIIIIIIIIIX,2045,1025,207,53
519,553,XZZZZZZZZZXZ,2,IZZZZZZZZZIZ,XIIIIIIIIIXI,2045,2050,207,66
520,452,IZYZZZZZZZYI,2,IZZZZZZZZZZI,IIXIIIIIIIXI,2046,514,208,41
521,526,IYZYYZZZZZYI,2,IZZZZZZZZZZI,IXIXXIIIIIXI,2046,1410,208,56
522,604,XZZYYZZZZZZX,2,IZZZZZZZZZZI,XIIXXIIIIIIX,2046,2433,208,77
523,566,XYYZZZZZZZZX,2,IZZZZZZZZZZI,XXXIIIIIIIIX,2046,3585,208,67
524,510,IYZZZZZZZZZY,2,IZZZZZZZZZZZ,IXIIIIIIIIIX,2047,1025,209,53
